epoch,train_acc,train_loss,val_acc,val_loss
1,0.42232,2.781409393692017,0.5302,1.4341218299865723
2,0.57226,1.8513024201202393,0.6347,1.1091003623008728
3,0.6421,1.4114387852478028,0.688,0.9677113416671753
4,0.68744,1.1427486896133423,0.6855,1.0004562551498413
5,0.71782,0.9651654274368286,0.7158,0.8934584283828735
6,0.73532,0.8552086954879761,0.7536,0.76418620262146
7,0.75716,0.7633304547119141,0.7535,0.7674479424476623
8,0.76878,0.7153620771789551,0.7633,0.7271279188156128
9,0.77832,0.652924656791687,0.7674,0.718447106051445
10,0.78994,0.6059194785308838,0.7805,0.6747488007545471
11,0.79748,0.5763642849731445,0.7784,0.6730795132637024
12,0.80476,0.5417030347824097,0.7886,0.6410386467933655
13,0.81112,0.5168554179954529,0.7984,0.6114292002677918
14,0.81874,0.4863440066719055,0.7984,0.5987724452018738
15,0.82014,0.4716805779647827,0.8042,0.5907105052471161
16,0.82606,0.45238171092033386,0.8049,0.5859207738876343
17,0.83092,0.4392761411380768,0.8057,0.5907159055233002
18,0.83568,0.4250991823577881,0.8105,0.5736432224273682
19,0.83942,0.4083117030143738,0.8087,0.5716063518047333
20,0.84224,0.39615918998718264,0.8126,0.5598954368591309
21,0.84526,0.38762122903823854,0.8145,0.5541898970603942
22,0.84916,0.37679917578697203,0.8154,0.54924728474617
23,0.85216,0.3682643502044678,0.8185,0.5477613533020019
24,0.85424,0.3630705396270752,0.8179,0.545225487947464
25,0.85498,0.35808943115234376,0.8182,0.5424390367507934
26,0.8566,0.3520977881622314,0.8183,0.5362363355398179
27,0.85778,0.34850268682479857,0.8184,0.5405654941082001
28,0.85824,0.3445369668197632,0.8197,0.5370061772584915
29,0.85988,0.3456400336456299,0.8188,0.5386376429080963
30,0.86152,0.3432851025390625,0.821,0.5378897076129914
